"","stand","gate"
"1","S-10","S10"
"2","S-16","S16"
"3","B-6","B6"
"4","N-12","N12"
"5","C-3","C3"
"6","C-20","C16A"
"7","N-2","N2"
"8","D-3","D3"
"9","N-20","N20"
"10","N-16","N16"
"11","D-4","D4"
"12","D-7","D7"
"13","N-14","N14"
"14","D-5","D5"
"15","C-9","C9"
"16","N-19","N19"
"17","N-6","N6"
"18","C-18","C18"
"19","N-5","N5"
"20","N-4","N4"
"21","N-1","N1"
"22","N-7","N7"
"23","C-10","C10C"
"24","D-2","D2"
"25","S-3A","S3"
"26","Q-5","C2A"
"27","N-18","N18"
"28","N-3","N3"
"29","C-11","C11"
"30","C-12","C10A"
"31","N-15","N15"
"32","S-15","S15"
"33","A-4","A4"
"34","B-7A","B7A"
"35","A-3","A3"
"36","B-7B","B7"
"37","A-12","A12"
"38","A-2","A2"
"39","A-13","A13"
"40","B-5","B5"
"41","B-7","B7"
"42","A-5","A5"
"43","A-1","A1"
"44","B-9","B9"
"45","CG2-2","A8"
"46","S-6A","S6"
"47","S-12","S12"
"48","S-4A","S4"
"49","A-9","A9"
"50","A-8","A8"
"51","S-11","S11"
"52","A-10","A10"
"53","C-20","C20"
"54","B-3","B3"
"55","S-7A","S7"
"56","S-2","S2"
"57","S-9","S9"
"58","S-8A","S8"
"59","S-1B","S1"
"60","S-1A","S1A"
"61","B-4","B4"
"62","A-14","A14"
"63","Q-6","C2"
"64","D-10","D10"
"65","D-11","D11"
"66","D-9","D9"
"67","D-8","D8"
"68","Q-8","C10"
"69","Q-2","C2"
"70","Q-10","C10"
"71","Q-3","C2"
"72","N-9","N9"
"73","Q-14","C16"
"74","C-12","C10"
"75","Q-13","C16"
"76","Q-1","C2"
"77","Q-16","C16"
"78","Q-7","C10"
"79","Q-12","C10"
"80","B-1","B1"
"81","Q-4","C2"
"82","Q-15","C16"
"83","A-12A","A12"
"84","B-11","B11"
"85","A-3A","A3"
"86","B-15","B15"
"87","A-7","A7"
"88","B-5A","B5A"
"89","A-4A","A4"
"90","S-8","S8"
"91","A-6A","A6"
"92","S-9A","S9A"
"93","B-12","B12"
"94","B-14","B14"
"95","A-6","A6"
"96","B-10","B10"
"97","N-17","N17"
"98","N-11","N11"
"99","B-8","B8"
"100","D-1","D1"
"101","C-17","C17"
"102","C-15","C15"
"103","N-10","N10"
"104","N-13","N13"
"105","N-8","N8"
"106","Q-5","C2"
"107","C-10","C10"
"108","Q-3","C2G"
"109","Q-12","C10E"
"110","Q-10","C10E"
"111","Q-7","C10D"
"112","Q-13","C16F"
"113","Q-1","C2B"
"114","Q-10","C10D"
"115","Q-8","C10C"
"116","Q-10","C10B"
"117","Q-13","C16E"
"118","Q-7","C10F"
"119","Q-5","C2F"
"120","Q-13","C16D"
"121","Q-5","C2E"
