"","stand","stand_group"
"1","CG-2-12","AA_ASSIGNED"
"2","CG2-1","AA_ASSIGNED"
"3","CG2-10","AA_ASSIGNED"
"4","CG2-11","AA_ASSIGNED"
"5","CG2-13","AA_ASSIGNED"
"6","CG2-14","AA_ASSIGNED"
"7","CG2-15","AA_ASSIGNED"
"8","CG2-16","AA_ASSIGNED"
"9","CG2-2","AA_ASSIGNED"
"10","CG2-20","AA_ASSIGNED"
"11","CG2-3","AA_ASSIGNED"
"12","CG2-3R","AA_ASSIGNED"
"13","CG2-4R","AA_ASSIGNED"
"14","CG2-9","AA_ASSIGNED"
"15","CG2-RON1","AA_ASSIGNED"
"16","CG3-1","AA_ASSIGNED"
"17","CG3-2","AA_ASSIGNED"
"18","CG3-2R","AA_ASSIGNED"
"19","CG4-1","AA_ASSIGNED"
"20","CG4-3","AA_ASSIGNED"
"21","CG4-5","AA_ASSIGNED"
"22","CG4-7","AA_ASSIGNED"
"23","CG4-9","AA_ASSIGNED"
"24","CG6-1","AA_ASSIGNED"
"25","CG6-2","AA_ASSIGNED"
"26","CG6-3","AA_ASSIGNED"
"27","CG6-4","AA_ASSIGNED"
"28","CG6-5","AA_ASSIGNED"
"29","D-10","AA_ASSIGNED"
"30","D-11","AA_ASSIGNED"
"31","D-8","AA_ASSIGNED"
"32","D-9","AA_ASSIGNED"
"33","A-6","AS_ASSIGNED"
"34","A-6A","AS_ASSIGNED"
"35","AS-CG1","AS_ASSIGNED"
"36","AS-CG2","AS_ASSIGNED"
"37","AS-H1","AS_ASSIGNED"
"38","AS-H12","AS_ASSIGNED"
"39","AS-H2","AS_ASSIGNED"
"40","AS-H3","AS_ASSIGNED"
"41","AS-H4","AS_ASSIGNED"
"42","AS-H5","AS_ASSIGNED"
"43","AS-H6","AS_ASSIGNED"
"44","AS-HA","AS_ASSIGNED"
"45","AS-HB","AS_ASSIGNED"
"46","AS-HC","AS_ASSIGNED"
"47","AS-HD","AS_ASSIGNED"
"48","AS-HE","AS_ASSIGNED"
"49","C-10","AS_ASSIGNED"
"50","C-11","AS_ASSIGNED"
"51","C-12","AS_ASSIGNED"
"52","C-14","AS_ASSIGNED"
"53","C-15","AS_ASSIGNED"
"54","C-16","AS_ASSIGNED"
"55","C-16A","AS_ASSIGNED"
"56","C-17","AS_ASSIGNED"
"57","C-18","AS_ASSIGNED"
"58","C-2","AS_ASSIGNED"
"59","C-20","AS_ASSIGNED"
"60","C-3","AS_ASSIGNED"
"61","C-4","AS_ASSIGNED"
"62","C-6","AS_ASSIGNED"
"63","C-8","AS_ASSIGNED"
"64","C-9","AS_ASSIGNED"
"65","CG-2-12","AS_ASSIGNED"
"66","CG2-1","AS_ASSIGNED"
"67","CG2-10","AS_ASSIGNED"
"68","CG2-11","AS_ASSIGNED"
"69","CG2-13","AS_ASSIGNED"
"70","CG2-14","AS_ASSIGNED"
"71","CG2-15","AS_ASSIGNED"
"72","CG2-16","AS_ASSIGNED"
"73","CG2-2","AS_ASSIGNED"
"74","CG2-20","AS_ASSIGNED"
"75","CG2-3","AS_ASSIGNED"
"76","CG2-3R","AS_ASSIGNED"
"77","CG2-4","AS_ASSIGNED"
"78","CG2-4R","AS_ASSIGNED"
"79","CG2-5","AS_ASSIGNED"
"80","CG2-6","AS_ASSIGNED"
"81","CG2-7","AS_ASSIGNED"
"82","CG2-8","AS_ASSIGNED"
"83","CG2-9","AS_ASSIGNED"
"84","CG2-RON1","AS_ASSIGNED"
"85","CG3-1","AS_ASSIGNED"
"86","CG3-2","AS_ASSIGNED"
"87","CG3-2R","AS_ASSIGNED"
"88","CG4-1","AS_ASSIGNED"
"89","CG4-3","AS_ASSIGNED"
"90","CG4-5","AS_ASSIGNED"
"91","CG4-7","AS_ASSIGNED"
"92","CG4-9","AS_ASSIGNED"
"93","CG6-1","AS_ASSIGNED"
"94","CG6-2","AS_ASSIGNED"
"95","CG6-3","AS_ASSIGNED"
"96","CG6-4","AS_ASSIGNED"
"97","CG6-5","AS_ASSIGNED"
"98","D-1","AS_ASSIGNED"
"99","D-2","AS_ASSIGNED"
"100","D-3","AS_ASSIGNED"
"101","D-4","AS_ASSIGNED"
"102","D-5","AS_ASSIGNED"
"103","D-7","AS_ASSIGNED"
"104","N-1","AS_ASSIGNED"
"105","N-10","AS_ASSIGNED"
"106","N-11","AS_ASSIGNED"
"107","N-12","AS_ASSIGNED"
"108","N-13","AS_ASSIGNED"
"109","N-14","AS_ASSIGNED"
"110","N-14A","AS_ASSIGNED"
"111","N-15","AS_ASSIGNED"
"112","N-18","AS_ASSIGNED"
"113","N-19","AS_ASSIGNED"
"114","N-2","AS_ASSIGNED"
"115","N-20","AS_ASSIGNED"
"116","N-3","AS_ASSIGNED"
"117","N-4","AS_ASSIGNED"
"118","N-5","AS_ASSIGNED"
"119","N-6","AS_ASSIGNED"
"120","N-7","AS_ASSIGNED"
"121","N-8","AS_ASSIGNED"
"122","N-9","AS_ASSIGNED"
"123","Q-1","AS_ASSIGNED"
"124","Q-10","AS_ASSIGNED"
"125","Q-11","AS_ASSIGNED"
"126","Q-12","AS_ASSIGNED"
"127","Q-13","AS_ASSIGNED"
"128","Q-14","AS_ASSIGNED"
"129","Q-15","AS_ASSIGNED"
"130","Q-16","AS_ASSIGNED"
"131","Q-17","AS_ASSIGNED"
"132","Q-18","AS_ASSIGNED"
"133","Q-2","AS_ASSIGNED"
"134","Q-3","AS_ASSIGNED"
"135","Q-4","AS_ASSIGNED"
"136","Q-5","AS_ASSIGNED"
"137","Q-6","AS_ASSIGNED"
"138","Q-7","AS_ASSIGNED"
"139","Q-8","AS_ASSIGNED"
"140","Q-9","AS_ASSIGNED"
"141","S-3A","AS_ASSIGNED"
"142","S-4A","AS_ASSIGNED"
"143","S-5","AS_ASSIGNED"
"144","A-1","DL_ASSIGNED"
"145","A-13","DL_ASSIGNED"
"146","A-13A","DL_ASSIGNED"
"147","A-14","DL_ASSIGNED"
"148","A-14R","DL_ASSIGNED"
"149","A-2","DL_ASSIGNED"
"150","A-3","DL_ASSIGNED"
"151","A-4","DL_ASSIGNED"
"152","A-4A","DL_ASSIGNED"
"153","A-5","DL_ASSIGNED"
"154","B-1","DL_ASSIGNED"
"155","B-11","DL_ASSIGNED"
"156","B-3","DL_ASSIGNED"
"157","B-4","DL_ASSIGNED"
"158","B-5","DL_ASSIGNED"
"159","B-5A","DL_ASSIGNED"
"160","B-6","DL_ASSIGNED"
"161","B-7","DL_ASSIGNED"
"162","B-7A","DL_ASSIGNED"
"163","B-7B","DL_ASSIGNED"
"164","B-9","DL_ASSIGNED"
"165","CG-2-12","DL_ASSIGNED"
"166","CG2-1","DL_ASSIGNED"
"167","CG2-10","DL_ASSIGNED"
"168","CG2-11","DL_ASSIGNED"
"169","CG2-13","DL_ASSIGNED"
"170","CG2-14","DL_ASSIGNED"
"171","CG2-15","DL_ASSIGNED"
"172","CG2-16","DL_ASSIGNED"
"173","CG2-2","DL_ASSIGNED"
"174","CG2-20","DL_ASSIGNED"
"175","CG2-3","DL_ASSIGNED"
"176","CG2-3R","DL_ASSIGNED"
"177","CG2-4","DL_ASSIGNED"
"178","CG2-4R","DL_ASSIGNED"
"179","CG2-5","DL_ASSIGNED"
"180","CG2-6","DL_ASSIGNED"
"181","CG2-7","DL_ASSIGNED"
"182","CG2-8","DL_ASSIGNED"
"183","CG2-9","DL_ASSIGNED"
"184","CG2-RON1","DL_ASSIGNED"
"185","CG3-1","DL_ASSIGNED"
"186","CG3-2","DL_ASSIGNED"
"187","CG3-2R","DL_ASSIGNED"
"188","CG4-1","DL_ASSIGNED"
"189","CG4-3","DL_ASSIGNED"
"190","CG4-5","DL_ASSIGNED"
"191","CG4-7","DL_ASSIGNED"
"192","CG4-9","DL_ASSIGNED"
"193","CG6-1","DL_ASSIGNED"
"194","CG6-2","DL_ASSIGNED"
"195","CG6-3","DL_ASSIGNED"
"196","CG6-4","DL_ASSIGNED"
"197","CG6-5","DL_ASSIGNED"
"198","DL-CG1","DL_ASSIGNED"
"199","DL-CG2","DL_ASSIGNED"
"200","DL-H1","DL_ASSIGNED"
"201","DL-H2","DL_ASSIGNED"
"202","DL-RM1","DL_ASSIGNED"
"203","DL-RM2","DL_ASSIGNED"
"204","FX-0","FX_ASSIGNED"
"205","FX-1","FX_ASSIGNED"
"206","FX-2","FX_ASSIGNED"
"207","FX-3","FX_ASSIGNED"
"208","FX-4","FX_ASSIGNED"
"209","A-10","OO_ASSIGNED"
"210","A-10A","OO_ASSIGNED"
"211","A-8","OO_ASSIGNED"
"212","A-8A","OO_ASSIGNED"
"213","A-9","OO_ASSIGNED"
"214","C-11","OO_ASSIGNED"
"215","C-15","OO_ASSIGNED"
"216","C-17","OO_ASSIGNED"
"217","C-18","OO_ASSIGNED"
"218","C-20","OO_ASSIGNED"
"219","C-9","OO_ASSIGNED"
"220","D-1","OO_ASSIGNED"
"221","D-10","OO_ASSIGNED"
"222","D-11","OO_ASSIGNED"
"223","D-2","OO_ASSIGNED"
"224","D-3","OO_ASSIGNED"
"225","N-10","OO_ASSIGNED"
"226","N-11","OO_ASSIGNED"
"227","N-12","OO_ASSIGNED"
"228","N-13","OO_ASSIGNED"
"229","N-14","OO_ASSIGNED"
"230","N-14A","OO_ASSIGNED"
"231","N-15","OO_ASSIGNED"
"232","N-16","OO_ASSIGNED"
"233","N-17","OO_ASSIGNED"
"234","N-18","OO_ASSIGNED"
"235","N-19","OO_ASSIGNED"
"236","N-20","OO_ASSIGNED"
"237","N-3","OO_ASSIGNED"
"238","N-4","OO_ASSIGNED"
"239","N-5","OO_ASSIGNED"
"240","N-6","OO_ASSIGNED"
"241","N-7","OO_ASSIGNED"
"242","N-8","OO_ASSIGNED"
"243","N-9","OO_ASSIGNED"
"244","S-1A","OO_ASSIGNED"
"245","S-1B","OO_ASSIGNED"
"246","A-11","POS_ASSIGNED"
"247","A-11A","POS_ASSIGNED"
"248","A-11B","POS_ASSIGNED"
"249","A-12","POS_ASSIGNED"
"250","A-12A","POS_ASSIGNED"
"251","A-12B","POS_ASSIGNED"
"252","A-7","POS_ASSIGNED"
"253","B-15","POS_ASSIGNED"
"254","N-16","POS_ASSIGNED"
"255","N-16A","POS_ASSIGNED"
"256","N-17","POS_ASSIGNED"
"257","S-1","POS_ASSIGNED"
"258","S-10","POS_ASSIGNED"
"259","S-10A","POS_ASSIGNED"
"260","S-10B","POS_ASSIGNED"
"261","S-11","POS_ASSIGNED"
"262","S-12","POS_ASSIGNED"
"263","S-15","POS_ASSIGNED"
"264","S-16","POS_ASSIGNED"
"265","S-1A","POS_ASSIGNED"
"266","S-1B","POS_ASSIGNED"
"267","S-2","POS_ASSIGNED"
"268","S-3","POS_ASSIGNED"
"269","S-3A","POS_ASSIGNED"
"270","S-4","POS_ASSIGNED"
"271","S-4A","POS_ASSIGNED"
"272","S-4B","POS_ASSIGNED"
"273","S-5","POS_ASSIGNED"
"274","S-6","POS_ASSIGNED"
"275","S-6A","POS_ASSIGNED"
"276","S-7","POS_ASSIGNED"
"277","S-7A","POS_ASSIGNED"
"278","S-8","POS_ASSIGNED"
"279","S-8A","POS_ASSIGNED"
"280","S-9","POS_ASSIGNED"
"281","S-9A","POS_ASSIGNED"
"282","S-9B","POS_ASSIGNED"
"283","N-14A","QK_ASSIGNED"
"284","A-6","QX_ASSIGNED"
"285","A-6A","QX_ASSIGNED"
"286","AS-CG1","QX_ASSIGNED"
"287","AS-CG2","QX_ASSIGNED"
"288","AS-H1","QX_ASSIGNED"
"289","AS-H12","QX_ASSIGNED"
"290","AS-H2","QX_ASSIGNED"
"291","AS-H3","QX_ASSIGNED"
"292","AS-H4","QX_ASSIGNED"
"293","AS-H5","QX_ASSIGNED"
"294","AS-H6","QX_ASSIGNED"
"295","AS-HA","QX_ASSIGNED"
"296","AS-HB","QX_ASSIGNED"
"297","AS-HC","QX_ASSIGNED"
"298","AS-HD","QX_ASSIGNED"
"299","AS-HE","QX_ASSIGNED"
"300","C-10","QX_ASSIGNED"
"301","C-11","QX_ASSIGNED"
"302","C-12","QX_ASSIGNED"
"303","C-14","QX_ASSIGNED"
"304","C-15","QX_ASSIGNED"
"305","C-16","QX_ASSIGNED"
"306","C-17","QX_ASSIGNED"
"307","C-18","QX_ASSIGNED"
"308","C-2","QX_ASSIGNED"
"309","C-20","QX_ASSIGNED"
"310","C-3","QX_ASSIGNED"
"311","C-4","QX_ASSIGNED"
"312","C-6","QX_ASSIGNED"
"313","C-8","QX_ASSIGNED"
"314","C-9","QX_ASSIGNED"
"315","CG-2-12","QX_ASSIGNED"
"316","CG2-1","QX_ASSIGNED"
"317","CG2-10","QX_ASSIGNED"
"318","CG2-11","QX_ASSIGNED"
"319","CG2-13","QX_ASSIGNED"
"320","CG2-14","QX_ASSIGNED"
"321","CG2-15","QX_ASSIGNED"
"322","CG2-16","QX_ASSIGNED"
"323","CG2-2","QX_ASSIGNED"
"324","CG2-20","QX_ASSIGNED"
"325","CG2-3","QX_ASSIGNED"
"326","CG2-3R","QX_ASSIGNED"
"327","CG2-4R","QX_ASSIGNED"
"328","CG2-9","QX_ASSIGNED"
"329","CG2-RON1","QX_ASSIGNED"
"330","CG3-1","QX_ASSIGNED"
"331","CG3-2","QX_ASSIGNED"
"332","CG3-2R","QX_ASSIGNED"
"333","CG4-1","QX_ASSIGNED"
"334","CG4-3","QX_ASSIGNED"
"335","CG4-5","QX_ASSIGNED"
"336","CG4-7","QX_ASSIGNED"
"337","CG4-9","QX_ASSIGNED"
"338","CG6-1","QX_ASSIGNED"
"339","CG6-2","QX_ASSIGNED"
"340","CG6-3","QX_ASSIGNED"
"341","CG6-4","QX_ASSIGNED"
"342","CG6-5","QX_ASSIGNED"
"343","D-1","QX_ASSIGNED"
"344","D-2","QX_ASSIGNED"
"345","D-3","QX_ASSIGNED"
"346","D-4","QX_ASSIGNED"
"347","D-5","QX_ASSIGNED"
"348","D-7","QX_ASSIGNED"
"349","N-10","QX_ASSIGNED"
"350","N-11","QX_ASSIGNED"
"351","N-12","QX_ASSIGNED"
"352","N-13","QX_ASSIGNED"
"353","N-14","QX_ASSIGNED"
"354","N-15","QX_ASSIGNED"
"355","N-18","QX_ASSIGNED"
"356","N-19","QX_ASSIGNED"
"357","N-20","QX_ASSIGNED"
"358","N-3","QX_ASSIGNED"
"359","N-4","QX_ASSIGNED"
"360","N-5","QX_ASSIGNED"
"361","N-6","QX_ASSIGNED"
"362","N-7","QX_ASSIGNED"
"363","N-8","QX_ASSIGNED"
"364","N-9","QX_ASSIGNED"
"365","Q-1","QX_ASSIGNED"
"366","Q-10","QX_ASSIGNED"
"367","Q-11","QX_ASSIGNED"
"368","Q-12","QX_ASSIGNED"
"369","Q-13","QX_ASSIGNED"
"370","Q-14","QX_ASSIGNED"
"371","Q-15","QX_ASSIGNED"
"372","Q-16","QX_ASSIGNED"
"373","Q-17","QX_ASSIGNED"
"374","Q-18","QX_ASSIGNED"
"375","Q-2","QX_ASSIGNED"
"376","Q-3","QX_ASSIGNED"
"377","Q-4","QX_ASSIGNED"
"378","Q-5","QX_ASSIGNED"
"379","Q-6","QX_ASSIGNED"
"380","Q-7","QX_ASSIGNED"
"381","Q-8","QX_ASSIGNED"
"382","Q-9","QX_ASSIGNED"
"383","A-10","UA_ASSIGNED"
"384","A-10A","UA_ASSIGNED"
"385","A-8","UA_ASSIGNED"
"386","A-8A","UA_ASSIGNED"
"387","A-9","UA_ASSIGNED"
"388","CG-2-12","UA_ASSIGNED"
"389","CG2-1","UA_ASSIGNED"
"390","CG2-10","UA_ASSIGNED"
"391","CG2-11","UA_ASSIGNED"
"392","CG2-13","UA_ASSIGNED"
"393","CG2-14","UA_ASSIGNED"
"394","CG2-15","UA_ASSIGNED"
"395","CG2-16","UA_ASSIGNED"
"396","CG2-2","UA_ASSIGNED"
"397","CG2-20","UA_ASSIGNED"
"398","CG2-3","UA_ASSIGNED"
"399","CG2-3R","UA_ASSIGNED"
"400","CG2-4","UA_ASSIGNED"
"401","CG2-4R","UA_ASSIGNED"
"402","CG2-5","UA_ASSIGNED"
"403","CG2-6","UA_ASSIGNED"
"404","CG2-7","UA_ASSIGNED"
"405","CG2-8","UA_ASSIGNED"
"406","CG2-9","UA_ASSIGNED"
"407","CG2-RON1","UA_ASSIGNED"
"408","CG3-1","UA_ASSIGNED"
"409","CG3-2","UA_ASSIGNED"
"410","CG3-2R","UA_ASSIGNED"
"411","CG4-1","UA_ASSIGNED"
"412","CG4-3","UA_ASSIGNED"
"413","CG4-5","UA_ASSIGNED"
"414","CG4-7","UA_ASSIGNED"
"415","CG4-9","UA_ASSIGNED"
"416","CG6-1","UA_ASSIGNED"
"417","CG6-2","UA_ASSIGNED"
"418","CG6-3","UA_ASSIGNED"
"419","CG6-4","UA_ASSIGNED"
"420","CG6-5","UA_ASSIGNED"
"421","UA-1","UA_ASSIGNED"
"422","UA-2","UA_ASSIGNED"
"423","UA-3","UA_ASSIGNED"
"424","B-10","WN_ASSIGNED"
"425","B-12","WN_ASSIGNED"
"426","B-14","WN_ASSIGNED"
"427","B-8","WN_ASSIGNED"
"428","CG-2-12","WN_ASSIGNED"
"429","CG2-1","WN_ASSIGNED"
"430","CG2-10","WN_ASSIGNED"
"431","CG2-11","WN_ASSIGNED"
"432","CG2-13","WN_ASSIGNED"
"433","CG2-14","WN_ASSIGNED"
"434","CG2-15","WN_ASSIGNED"
"435","CG2-16","WN_ASSIGNED"
"436","CG2-2","WN_ASSIGNED"
"437","CG2-20","WN_ASSIGNED"
"438","CG2-3","WN_ASSIGNED"
"439","CG2-3R","WN_ASSIGNED"
"440","CG2-4","WN_ASSIGNED"
"441","CG2-4R","WN_ASSIGNED"
"442","CG2-5","WN_ASSIGNED"
"443","CG2-6","WN_ASSIGNED"
"444","CG2-7","WN_ASSIGNED"
"445","CG2-8","WN_ASSIGNED"
"446","CG2-9","WN_ASSIGNED"
"447","CG2-RON1","WN_ASSIGNED"
"448","CG3-1","WN_ASSIGNED"
"449","CG3-2","WN_ASSIGNED"
"450","CG3-2R","WN_ASSIGNED"
"451","CG4-1","WN_ASSIGNED"
"452","CG4-3","WN_ASSIGNED"
"453","CG4-5","WN_ASSIGNED"
"454","CG4-7","WN_ASSIGNED"
"455","CG4-9","WN_ASSIGNED"
"456","CG6-1","WN_ASSIGNED"
"457","CG6-2","WN_ASSIGNED"
"458","CG6-3","WN_ASSIGNED"
"459","CG6-4","WN_ASSIGNED"
"460","CG6-5","WN_ASSIGNED"
