"","stand","ac_type_long","stand_impact","impact","ac_type_long_impact","updated_at"
"1","A-10","ANY SIZE","A-9","Size","ANY SIZE",2022-02-01 23:15:43
"2","A-10","ANY SIZE","A-10A","Size","ANY SIZE",2022-02-02 23:15:53
"3","A-10A","ANY SIZE","A-10","Size","ANY SIZE",2022-02-02 23:15:54
"4","A-11","ANY SIZE","A-11A","Size","ANY SIZE",2021-03-24 23:15:40
"5","A-11","ANY SIZE","A-12A","Size","ANY SIZE",NA
"6","A-11A","ANY SIZE","A-11","Size","ANY SIZE",2021-03-24 23:15:40
"7","A-12","ANY SIZE","A-12B","Size","ANY SIZE",2022-02-02 23:15:54
"8","A-12","ANY SIZE","A-12A","Size","ANY SIZE",2022-02-10 23:15:39
"9","A-12A","ANY SIZE","A-12","Size","ANY SIZE",2020-05-27 02:06:38
"10","A-12A","ANY SIZE","A-11","Size","ANY SIZE",NA
"11","A-12B","ANY SIZE","A-12","Size","ANY SIZE",2022-02-02 23:15:54
"12","A-13","ANY SIZE","A-14","Size","ANY SIZE",2021-03-24 23:15:40
"13","A-13","ANY SIZE","A-14R","Size","ANY SIZE",2020-05-27 02:06:38
"14","A-13","ANY SIZE","A-13A","Size","ANY SIZE",2020-05-27 02:06:38
"15","A-13A","ANY SIZE","A-13","Size","ANY SIZE",2020-05-27 02:06:38
"16","A-13A","BOEING B757-200","A-14R","Size","ANY SIZE",2020-05-27 02:06:38
"17","A-13A","ANY SIZE","A-14R","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"18","A-14","ANY SIZE","A-13","Size","ANY SIZE",2021-03-24 23:15:40
"19","A-14","ANY SIZE","A-14R","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"20","A-14R","ANY SIZE","A-13A","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"21","A-14R","ANY SIZE","A-13A","Size","BOEING B737-900 WINGLETS",2020-05-27 02:06:38
"22","A-14R","ANY SIZE","A-13","Size","BOEING B767-300",2020-05-27 02:06:38
"23","A-3","ANY SIZE","A-4A","Size","ANY SIZE",2021-03-24 23:15:48
"24","A-3","ANY SIZE","A-3A","Size","ANY SIZE",2021-03-24 23:15:43
"25","A-3A","ANY SIZE","A-3","Size","ANY SIZE",2021-03-24 23:15:43
"26","A-4","ANY SIZE","A-5","Size","ANY SIZE",2021-03-24 23:15:40
"27","A-4","ANY SIZE","A-4A","Size","ANY SIZE",2021-03-24 23:15:48
"28","A-4A","ANY SIZE","A-4","Size","ANY SIZE",2021-03-24 23:15:48
"29","A-4A","ANY SIZE","A-3","Size","ANY SIZE",2021-03-24 23:15:48
"30","A-5","ANY SIZE","A-4","Size","ANY SIZE",2021-03-24 23:15:40
"31","A-6","ANY SIZE","A-6A","Size","ANY SIZE",2020-05-27 02:06:38
"32","A-6","ANY SIZE","A-7","Size","ANY SIZE",2020-08-26 23:15:52
"33","A-6A","ANY SIZE","A-6","Size","ANY SIZE",2020-05-27 02:06:38
"34","A-7","ANY SIZE","A-6","Size","ANY SIZE",2020-07-30 23:15:44
"35","A-8","ANY SIZE","A-9","Size","ANY SIZE",2020-08-27 23:16:00
"36","A-8","ANY SIZE","A-8A","Size","ANY SIZE",2020-08-26 23:15:52
"37","A-8A","ANY SIZE","A-8","Size","ANY SIZE",2020-08-26 23:15:52
"38","A-9","ANY SIZE","A-10","Size","ANY SIZE",2022-02-01 23:15:41
"39","A-9","ANY SIZE","A-8","Size","ANY SIZE",2020-08-27 23:16:00
"40","B-11","ANY SIZE","B-15A","Size","ANY SIZE",2020-05-27 02:06:38
"41","B-15","ANY SIZE","B-15A","Size","ANY SIZE",2020-05-27 02:06:38
"42","B-15A","ANY SIZE","B-15","Size","ANY SIZE",2020-05-27 02:06:38
"43","B-15A","ANY SIZE","B-11","Size","ANY SIZE",2020-05-27 02:06:38
"44","B-7","ANY SIZE","B-7B","Size","ANY SIZE",2020-05-27 02:06:38
"45","B-7","ANY SIZE","B-7A","Size","ANY SIZE",2020-05-27 02:06:38
"46","B-7A","ANY SIZE","B-7","Size","ANY SIZE",2020-05-27 02:06:38
"47","B-7B","ANY SIZE","B-7","Size","ANY SIZE",2020-05-27 02:06:38
"48","C-10","ANY SIZE","Q-8","Size","ANY SIZE",2020-05-27 02:06:38
"49","C-10","ANY SIZE","Q-10","Size","ANY SIZE",2020-05-27 02:06:38
"50","C-12","ANY SIZE","Q-10","Size","ANY SIZE",2020-05-27 02:06:38
"51","C-12","ANY SIZE","Q-12","Size","ANY SIZE",2020-05-27 02:06:38
"52","C-16","ANY SIZE","Q-16","Size","ANY SIZE",2020-05-27 02:06:38
"53","C-18","ANY SIZE","Q-18","Size","ANY SIZE",2020-05-27 02:06:38
"54","C-2","ANY SIZE","Q-2","Size","ANY SIZE",2020-05-27 02:06:38
"55","C-3","ANY SIZE","C-3R","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
